Tag,Rng,ArtistNo,Title,Artist,ConstituentID,Nationality,Birth,Death,Date,Medium,CreditLine,AccessionNumber,Classification,Department,DateAcquired,ObjectID,URL,ThumbnailURL
921,2,200,Man at the Crossroads,Barry Le Va,4942,Mexican,1886,1957,1932,Pencil,Given anonymously,138.1935,Drawing,Drawings,2/27/1935,34635,http://www.moma.org/collection/works/34635,http://www.moma.org/media/W1siZiIsIjIxMDQwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31ba2f84bc87e8db
922,2,200,Washington Square,Barry Le Va,2184,American,1870,1938,1913,Charcoal,Gift of Abby Aldrich Rockefeller,138.194,Drawing,Drawings,4/5/1940,34636,http://www.moma.org/collection/works/34636,http://www.moma.org/media/W1siZiIsIjI4Njk2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=634274576041990b
923,5,200,Joyous Young Pine,Barry Le Va,2309,American,1910,2001,1944,Watercolor,Purchase by exchange,138.1945,Drawing,Drawings,4/26/1945,34637,http://www.moma.org/collection/works/34637,http://www.moma.org/media/W1siZiIsIjEyMzA3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c3767bbe0619edca
924,4,200,Square-Rigger,Barry Le Va,1832,American,1871,1956,1940,Pen,Gift of Julia Feininger,138.1966,Drawing,Drawings,2/8/1966,34642,http://www.moma.org/collection/works/34642,http://www.moma.org/media/W1siZiIsIjEzMzg0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=12480f060d8e1d9d
925,1,200,Girl Reading,Barry Le Va,4071,British,1898,1986,1947,Watercolor,The Joan and Lester Avnet Collection,138.1978.a-b,Drawing,Drawings,4/4/1978,34646,http://www.moma.org/collection/works/34646,http://www.moma.org/media/W1siZiIsIjMyNDU5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1d8c8264906afd9
926,3,200,Untitled,Barry Le Va,5640,American,1936,0,,Pen,Gift of Lawrence Rubin,138.1981,Drawing,Drawings,4/28/1981,34647,http://www.moma.org/collection/works/34647,http://www.moma.org/media/W1siZiIsIjI3ODc5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf6fa558155c4354
927,4,200,Sunset from Loon Lake: Eleven Drawings,Barry Le Va,4598,American,1943,0,1983,Gouache,"Gift of the artist in memory of her father, Thomas Edward Phelan",138.1984,Drawing,Drawings,4/17/1984,34648,http://www.moma.org/collection/works/34648,http://www.moma.org/media/W1siZiIsIjE2MDgwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ba3c13909b78fad
928,4,200,"Sunset, Earthquake, Loneliness",Barry Le Va,7958,Brazilian,1957,1993,1990,Ink,Gift of the artist's estate,138.1999,Drawing,Drawings,5/6/1999,34650,http://www.moma.org/collection/works/34650,http://www.moma.org/media/W1siZiIsIjM3NTI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f25f3e51b87bd162
929,2,200,"Woman, Head on Hand",Barry Le Va,4038,Italian,1884,1920,1917,Pencil,Gift of Abby Aldrich Rockefeller,139.194,Drawing,Drawings,4/5/1940,34651,http://www.moma.org/collection/works/34651,http://www.moma.org/media/W1siZiIsIjM0NTcyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93b289bf1b76d0ab
930,5,200,Scherzo with Thirteen Das Scherzo mit der Dreizehn,Barry Le Va,3130,German,1879,1940,1922,Oil,Purchase,139.1951,Drawing,Drawings,5/24/1951,34652,http://www.moma.org/collection/works/34652,http://www.moma.org/media/W1siZiIsIjEzNTE3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4606dba0d1654fee
931,4,201,Frigate,Barry McGee,1832,American,1871,1956,1941,Pen,Gift of Julia Feininger,139.1966,Drawing,Drawings,2/8/1966,34654,http://www.moma.org/collection/works/34654,http://www.moma.org/media/W1siZiIsIjEzMzg0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4e200c218227df8
932,1,202,Untitled,Bart Van Der Leck,1854,Cuban,1928,2006,1972,Pencil,David Rockefeller Latin American Fund,139.1973,Drawing,Drawings,3/6/1973,34656,http://www.moma.org/collection/works/34656,http://www.moma.org/media/W1siZiIsIjMxODAwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=08f2adc4444d539f
933,2,202,Bust of a Woman,Bart Van Der Leck,4197,American,1882,1946,1913,Ink,The Joan and Lester Avnet Collection,139.1978,Drawing,Drawings,4/4/1978,34658,http://www.moma.org/collection/works/34658,http://www.moma.org/media/W1siZiIsIjIwODI5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ea1afaad2799b25
934,5,202,Untitled,Bart Van Der Leck,5640,American,1936,0,,Pencil,Gift of Lawrence Rubin,139.1981,Drawing,Drawings,4/28/1981,34659,http://www.moma.org/collection/works/34659,http://www.moma.org/media/W1siZiIsIjI3ODc5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=08881da5beb83127
935,5,203,Portrait of JR,Beatrice Riese,2141,Swiss,1901,1966,1959,Pencil,Gift of John Rewald in memory of Frances Weitzenhoffer,139.1991,Drawing,Drawings,5/23/1991,34661,http://www.moma.org/collection/works/34661,http://www.moma.org/media/W1siZiIsIjQzMzE1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=664296e08e9005db
936,5,203,I Am Your Man,Beatrice Riese,7958,Brazilian,1957,1993,1992,Watercolor,Gift of the Friends of Contemporary Drawing,139.1999,Drawing,Drawings,5/6/1999,34662,http://www.moma.org/collection/works/34662,http://www.moma.org/media/W1siZiIsIjEwMDk3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e89b27312722863
937,4,203,The Palm,Beatrice Riese,1646,French,1877,1953,1923,Watercolor,Gift of Mrs. Saidie A. May,140.1934,Drawing,Drawings,4/4/1934,34663,http://www.moma.org/collection/works/34663,http://www.moma.org/media/W1siZiIsIjM0NzkxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=270f81f1eb4e4cff
938,2,203,Man with Spectacles,Beatrice Riese,5053,French,1871,1958,1917,Watercolor,Gift of Abby Aldrich Rockefeller,140.1935,Drawing,Drawings,6/13/1935,34664,http://www.moma.org/collection/works/34664,http://www.moma.org/media/W1siZiIsIjIxMDQxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f82d2411e3747d7
939,1,203,Portrait of a Woman,Beatrice Riese,4038,Italian,1884,1920,1919-1920,Pencil,Given anonymously,140.194,Drawing,Drawings,4/5/1940,34665,http://www.moma.org/collection/works/34665,http://www.moma.org/media/W1siZiIsIjM0NTcyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf45cd74eca12155
940,4,203,The Jungle La Jungla,Beatrice Riese,3349,Cuban,1902,1982,1943,Gouache,Inter-American Fund,140.1945,Drawing,Drawings,4/26/1945,34666,http://www.moma.org/collection/works/34666,http://www.moma.org/media/W1siZiIsIjMzMDQ5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=11b32c97619c4a98
941,1,204,Three-Masted Frigate,Beatriz Gonzalez,1832,American,1871,1956,1942,Pen,Gift of Julia Feininger,140.1966,Drawing,Drawings,2/8/1966,34668,http://www.moma.org/collection/works/34668,http://www.moma.org/media/W1siZiIsIjE1NzIzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b166c07bebb3878f
942,5,204,The Last Soldier,Beatriz Gonzalez,2374,American,1893,1959,1937,Watercolor,Gift of Harry Belafonte Foundation,140.1973,Drawing,Drawings,3/6/1973,34670,http://www.moma.org/collection/works/34670,http://www.moma.org/media/W1siZiIsIjEyMjE0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1ca7699a4ed9658
943,3,204,The Storm,Beatriz Gonzalez,4227,British,1893,1977,1914,Crayon,The Joan and Lester Avnet Collection,140.1978,Drawing,Drawings,4/4/1978,34672,http://www.moma.org/collection/works/34672,http://www.moma.org/media/W1siZiIsIjMyMTYwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e31d47cc4a08c1a6
944,5,204,Untitled Energytree,Beatriz Gonzalez,6636,American,1943,1978,1972-1973,Crayon,Gift of the artist's estate,140.1999,Drawing,Drawings,5/6/1999,34676,http://www.moma.org/collection/works/34676,http://www.moma.org/media/W1siZiIsIjg4ODY0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c251d03387686a8c
945,1,204,At the Milliner's Chez la modiste,Beatriz Gonzalez,1465,French,1834,1917,1882,Pastel,Gift of Mrs. David M. Levy,141.1957,Drawing,Drawings,10/9/1957,34679,http://www.moma.org/collection/works/34679,http://www.moma.org/media/W1siZiIsIjMzOTE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee1eb5b1fa8e76d0
946,1,204,Country Road,Beatriz Gonzalez,1832,American,1871,1956,1942,Watercolor,Gift of Julia Feininger,141.1966,Drawing,Drawings,2/8/1966,34680,http://www.moma.org/collection/works/34680,http://www.moma.org/media/W1siZiIsIjEzMzkyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a98010e8f94ba146
947,3,204,The Eye,Beatriz Gonzalez,4591,French,1886,1962,1923,Oil,"Gift of the Joseph H. Hazen Foundation in honor of Alfred H. Barr, Jr.",141.1977,Drawing,Drawings,3/8/1977,34684,http://www.moma.org/collection/works/34684,http://www.moma.org/media/W1siZiIsIjIwODMwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=edeacd60bae2b008
948,1,204,Untitled,Beatriz Gonzalez,2199,American,1954,0,1985,Pencil,Gift of Barbara G. Pine,141.1991,Drawing,Drawings,5/23/1991,34687,http://www.moma.org/collection/works/34687,http://www.moma.org/media/W1siZiIsIjkzODgyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3684e95fa1edbfb9
949,1,204,Untitled Cut Drawing,Beatriz Gonzalez,6636,American,1943,1978,1976-1977,Pencil,"Purchase through the Vincent D'Aquila and Harry Soviak Bequest Fund, The Judith Rothschild Foundation, and Purchase Fund",141.1999,Drawing,Drawings,5/6/1999,34688,http://www.moma.org/collection/works/34688,http://www.moma.org/media/W1siZiIsIjg5ODg4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0272f30c83e11305
950,3,204,"Verdun, The Trench Diggers",Beatriz Gonzalez,6624,French,1881,1955,1916,Watercolor,Frank Crowninshield Fund,142.1944,Drawing,Drawings,9/27/1944,34690,http://www.moma.org/collection/works/34690,http://www.moma.org/media/W1siZiIsIjIyMjE2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=12a71a67bdc7f616
951,2,204,Tightrope Walker I Seilta¤nzer I,Beatriz Gonzalez,3670,German,1887,1914,1913-1914,Crayon,Gift of Auguste Klipstein,142.1951,Drawing,Drawings,5/24/1951,34691,http://www.moma.org/collection/works/34691,http://www.moma.org/media/W1siZiIsIjExMzQ5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cc5c8cc7841dbbfe
952,5,204,Composition,Beatriz Gonzalez,392,German,1889,1955,1922,Gouache,Katherine S. Dreier Bequest,142.1953,Drawing,Drawings,4/7/1953,34692,http://www.moma.org/collection/works/34692,http://www.moma.org/media/W1siZiIsIjI3ODc5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a9b352736ad1199
953,4,204,Self-Portrait Selbstportra¤t,Beatriz Gonzalez,1559,German,1891,1969,1922,Watercolor,Gift of Richard L. Feigen,142.1957,Drawing,Drawings,10/9/1957,34693,http://www.moma.org/collection/works/34693,http://www.moma.org/media/W1siZiIsIjEyMDAzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80391c3d6d065d42
954,1,204,People and the Sprite,Beatriz Gonzalez,1832,American,1871,1956,1945,Watercolor,Gift of Julia Feininger,142.1966,Drawing,Drawings,2/8/1966,34694,http://www.moma.org/collection/works/34694,http://www.moma.org/media/W1siZiIsIjEzMzg0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f42586bd7f422672
955,5,204,Die Welt des Kanarienvogels The World of the Canary,Beatriz Gonzalez,3111,German,1953,1997,1988,Pencil,Gift of Walter Bareiss and R.L.B. Tobin,142.1991.a-zzzzzz,Drawing,Drawings,5/23/1991,34700,http://www.moma.org/collection/works/34700,http://www.moma.org/media/W1siZiIsIjkwMDk5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ac01892752088e26
956,1,204,Rothko by Newman,Beatriz Gonzalez,4285,American,1905,1970,,Ink,Given anonymously,142.1999,Drawing,Drawings,5/6/1999,34701,http://www.moma.org/collection/works/34701,http://www.moma.org/media/W1siZiIsIjMyNzk0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ecfe944229d99807
957,2,204,Lower Manhattan Composing Derived from Top of Woolworth,Beatriz Gonzalez,3770,American,1870,1953,1922,Gouache,Acquired through the Lillie P. Bliss Bequest by exchange,143.1945,Drawing,Drawings,4/26/1945,34702,http://www.moma.org/collection/works/34702,http://www.moma.org/media/W1siZiIsIjIxMDQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bedc59dacbcb7706
958,4,204,Remote Field,Beatriz Gonzalez,5889,American,1890,1976,1944,Tempera,Gift of Mr. and Mrs. Jan de Graaff,143.1947,Drawing,Drawings,6/17/1947,34703,http://www.moma.org/collection/works/34703,http://www.moma.org/media/W1siZiIsIjE4MjAzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81350affdff44d5c
959,5,205,Da-Da New York Dada Group,Beatriz Milhazes,644,Spanish,1894,1949,1921,Ink,Katherine S. Dreier Bequest,143.1953,Drawing,Drawings,4/7/1953,34704,http://www.moma.org/collection/works/34704,http://www.moma.org/media/W1siZiIsIjM5NzEwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=604f0df713fe0f91
960,3,206,Methusalem. Costume design for the play Methusalem,Beauford Delaney,2374,American,1893,1959,1922,Watercolor,Mr. and Mrs. Werner E. Josten Fund,143.1957,Drawing,Drawings,10/9/1957,34705,http://www.moma.org/collection/works/34705,http://www.moma.org/media/W1siZiIsIjEyMjEzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=13196e6e7fa52740
961,4,206,Man Waiting,Beauford Delaney,2240,American,1936,2013,1961,Charcoal,Gift of Mr. and Mrs. Walter Bareiss,143.1962,Drawing,Drawings,5/8/1962,34706,http://www.moma.org/collection/works/34706,http://www.moma.org/media/W1siZiIsIjY3MzYxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c2d618151f288dd2
962,1,207,Walking in a Dream,Bedri Rahmi,1832,American,1871,1956,1945,Watercolor,Gift of Julia Feininger,143.1966,Drawing,Drawings,2/8/1966,34707,http://www.moma.org/collection/works/34707,http://www.moma.org/media/W1siZiIsIjEzMzkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=91034fa63bc5e65b
963,3,208,Untitled After Poussin,Ben Cunningham Benjamin Frazier Cunningham,5858,American,1937,1966,1964,Oil,Gift of Lillian L. and Jack I. Poses,143.1971,Drawing,Drawings,3/30/1971,34708,http://www.moma.org/collection/works/34708,http://www.moma.org/media/W1siZiIsIjIwODMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f41c2dd7c8ef4c49
964,5,209,Litanies Litany of the Chariot,Ben Nicholson,4108,American,1931,0,1961,Ink,Acquired with matching funds from Michael Blankfort and the National Endowment for the Arts,143.1973,Drawing,Drawings,3/6/1973,34709,http://www.moma.org/collection/works/34709,http://www.moma.org/media/W1siZiIsIjI1NTA2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bfdf8582e70ab1ce
965,1,209,Low Sun from Loon Lake: Eleven Drawings,Ben Nicholson,4598,American,1943,0,1983,Gouache,"Gift of the artist in memory of her father, Thomas Edward Phelan",143.1984,Drawing,Drawings,4/17/1984,34712,http://www.moma.org/collection/works/34712,http://www.moma.org/media/W1siZiIsIjE2MTU0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d940d60a216d4e3
966,1,209,Branch of a Judas Tree,Ben Nicholson,3832,French,1869,1954,1942,Charcoal,Gift of John Rewald in memory of Frances Weitzenhoffer,143.1991,Drawing,Drawings,5/23/1991,34713,http://www.moma.org/collection/works/34713,http://www.moma.org/media/W1siZiIsIjk3MjQxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fff4cadf702ccda8
967,4,209,The Blessing,Ben Nicholson,4285,American,1905,1970,1944,Oil,Fractional and promised gift of Marie-Josee and Henry R. Kravis,143.1999,Drawing,Drawings,5/6/1999,34714,http://www.moma.org/collection/works/34714,http://www.moma.org/media/W1siZiIsIjIyMjE2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6921ab4e7be6e428
968,4,210,Bartolomeo Vanzetti and Nicola Sacco,Ben Shahn,5366,American,1898,1969,1931-1932,Gouache,Gift of Abby Aldrich Rockefeller,144.1935,Drawing,Drawings,6/13/1935,34715,http://www.moma.org/collection/works/34715,http://www.moma.org/media/W1siZiIsIjI0NzIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=06e78421519dfd26
969,2,210,Polyphemus,Ben Shahn,3960,Mexican,1917,1997,1941,Ink,Inter-American Fund,144.1944,Drawing,Drawings,9/27/1944,34717,http://www.moma.org/collection/works/34717,http://www.moma.org/media/W1siZiIsIjMzMTI0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=101d5a878f30a439
970,3,210,The Ring,Ben Shahn,7483,American,1924,0,1956,Charcoal,Gift of Mr. and Mrs. Sydney S. Spivack,144.1957,Drawing,Drawings,10/9/1957,34718,http://www.moma.org/collection/works/34718,http://www.moma.org/media/W1siZiIsIjMzMTkxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=08e3a02ffcc09495
971,1,210,Figures Walking,Ben Shahn,1832,American,1871,1956,1949,Watercolor,Gift of Julia Feininger,144.1966,Drawing,Drawings,2/8/1966,34720,http://www.moma.org/collection/works/34720,http://www.moma.org/media/W1siZiIsIjEzMzkyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=360ea5f9651a233a
972,5,210,Untitled,Ben Shahn,4108,American,1931,0,1969,Pencil,Acquired with matching funds from The Walter Foundation and the National Endowment for the Arts,144.1973,Drawing,Drawings,3/6/1973,34722,http://www.moma.org/collection/works/34722,http://www.moma.org/media/W1siZiIsIjMxODAwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b4cbd1dc36d185ac
973,2,210,The Offspring of Eos,Ben Shahn,4488,British,1924,2005,1961,Cut and Pasted,The Joan and Lester Avnet Collection,144.1978,Drawing,Drawings,4/4/1978,34724,http://www.moma.org/collection/works/34724,http://www.moma.org/media/W1siZiIsIjIyMjE2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d2d29f54988d6f30
974,4,210,Model for Animal Pyramid II,Ben Shahn,4243,American,1941,0,1989,Cut and Pasted,Gift of Agnes Gund and Jo Carole and Ronald S. Lauder,144.1991,Drawing,Drawings,5/23/1991,34726,http://www.moma.org/collection/works/34726,http://www.moma.org/media/W1siZiIsIjQyMTcyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9d8ec95243df7f2
975,1,210,Drawing for Fret,Ben Shahn,4348,American,1938,0,1990,Pencil,Purchased with funds given by Richard E. Salomon,144.1999,Drawing,Drawings,5/6/1999,34727,http://www.moma.org/collection/works/34727,http://www.moma.org/media/W1siZiIsIjE4MjY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53efc84a13a32c9d
976,3,210,Fledgling,Ben Shahn,2309,American,1910,2001,1940,Gouache,Purchase,145.1942,Drawing,Drawings,3/18/1942,34729,http://www.moma.org/collection/works/34729,http://www.moma.org/media/W1siZiIsIjEyMzA3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=49ade1584c3ef3df
977,4,210,Figures,Ben Shahn,1832,American,1871,1956,1950,Watercolor,Gift of Julia Feininger,145.1966,Drawing,Drawings,2/8/1966,34731,http://www.moma.org/collection/works/34731,http://www.moma.org/media/W1siZiIsIjEzMzg1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1584ee4695d2a4cb
978,4,210,New York,Ben Shahn,4607,French,1879,1953,1913,Gouache,The Joan and Lester Avnet Collection,145.1978,Drawing,Drawings,4/4/1978,34734,http://www.moma.org/collection/works/34734,http://www.moma.org/media/W1siZiIsIjIxMDQ0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26d82419eae7cec4
979,2,210,XRTC 4,Ben Shahn,7461,Mexican,1962,0,1996,Rubbed graphite on paper,Gift of Patricia and Morris Orden,145.1999,Drawing,Drawings,5/6/1999,34737,http://www.moma.org/collection/works/34737,http://www.moma.org/media/W1siZiIsIjE3MDk4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=210051beedfdad4b
980,2,210,Self-Portrait,Ben Shahn,5383,American,1883,1965,1923,"Conte crayon, gouache, and pencil on paper",Gift of Abby Aldrich Rockefeller,146.1935,Drawing,Drawings,6/13/1935,34738,http://www.moma.org/collection/works/34738,http://www.moma.org/media/W1siZiIsIjI0NDk2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aa07f50af1e7e9fa
981,5,210,"Marine Scene, Twilight",Ben Shahn,1832,American,1871,1956,1950,"Wash, charcoal, and pen and ink on paper",Gift of Julia Feininger,146.1966,Drawing,Drawings,2/8/1966,34741,http://www.moma.org/collection/works/34741,http://www.moma.org/media/W1siZiIsIjEzMzkyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=90adbd35ee5bed12
982,3,210,Untitled,Ben Shahn,5332,Swiss,1918,1963,1961,Book,Christopher Tietze Fund,146.1973.1-28,Drawing,Drawings,3/6/1973,34743,http://www.moma.org/collection/works/34743,http://www.moma.org/media/W1siZiIsIjM5Mzg1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0c8acaef778b5fd
983,2,210,"Untitled I've been married...""",Ben Shahn,4741,American,1949,0,1986,Pen,Gift of the artist,146.1991.1,Drawing,Drawings,5/23/1991,34747,http://www.moma.org/collection/works/34747,http://www.moma.org/media/W1siZiIsIjQyNjg2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1762739a859a6c88
984,5,210,"Untitled ""My father was never home...""",Ben Shahn,4741,American,1949,0,1986,Pen,Gift of the artist,146.1991.2,Drawing,Drawings,5/23/1991,34748,http://www.moma.org/collection/works/34748,http://www.moma.org/media/W1siZiIsIjQyNjg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21b2bcdb7a11d165
985,1,210,"Untitled ""A couple is driving...""",Ben Shahn,4741,American,1949,0,1987,Pen,Gift of the artist,146.1991.3,Drawing,Drawings,5/23/1991,34749,http://www.moma.org/collection/works/34749,http://www.moma.org/media/W1siZiIsIjQyNjg2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2b4ed7c3a7205cc0
986,4,211,"Untitled ""What it means...Do you know what...""",Benjamin Cottam,4741,American,1949,0,1991,Ink,Gift of the artist,146.1991.4,Drawing,Drawings,5/23/1991,34750,http://www.moma.org/collection/works/34750,http://www.moma.org/media/W1siZiIsIjQyNjg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6401b4b9547fa1d0
987,4,211,"Untitled ""I wasn't invited here...""",Benjamin Cottam,4741,American,1949,0,1986,Pen,Gift of the artist,146.1991.5,Drawing,Drawings,5/23/1991,34751,http://www.moma.org/collection/works/34751,http://www.moma.org/media/W1siZiIsIjQyNjg2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7931bede0939ce03
